algorithm,type,timestamp,mazeSize,time,pathLength,backtracks,cellsExplored,totalCells,efficiency,deadEnds,junctions,corridorLength,manhattanEfficiency,pathFound
Dijkstra,solver,2026-01-18T11:18:19.098Z,10x10,0.13780000001192094,25,,34,100,73.52941176470588,15,13,0.8275862068965517,1.3888888888888888,
Randomized Kruskal,generator,2026-01-18T11:18:19.670Z,10x10,0.544699999988079,,,,,,35,29,0.18461538461538463,0,
Recursive DFS,solver,2026-01-18T11:18:20.189Z,10x10,0.35710000002384185,23,33,56,100,41.07142857142857,35,29,0.18461538461538463,1.2777777777777777,
Randomized Kruskal,generator,2026-01-18T11:18:20.825Z,10x10,0.6291999999880791,,,,,,36,26,0.2222222222222222,0,
Recursive DFS,solver,2026-01-18T11:18:21.415Z,10x10,0.4128999999761581,39,32,71,100,54.929577464788736,36,26,0.2222222222222222,2.1666666666666665,
Randomized Kruskal,generator,2026-01-18T11:18:22.033Z,10x10,0.6178000000119209,,,,,,33,29,0.2222222222222222,0,
Recursive DFS,solver,2026-01-18T11:18:22.573Z,10x10,0.3564000000357628,37,26,63,100,58.730158730158735,33,29,0.2222222222222222,2.0555555555555554,
Randomized Kruskal,generator,2026-01-18T11:18:23.115Z,10x10,0.5365,,,,,,27,24,0.36538461538461536,0,
Recursive DFS,solver,2026-01-18T11:18:23.836Z,10x10,0.5490999999642372,25,56,81,100,30.864197530864196,27,24,0.36538461538461536,1.3888888888888888,
Randomized Kruskal,generator,2026-01-18T11:18:24.422Z,10x10,0.5733000000119209,,,,,,27,20,0.3541666666666667,0,
Recursive DFS,solver,2026-01-18T11:18:25.035Z,10x10,0.4773000000119209,25,47,72,100,34.72222222222222,27,20,0.3541666666666667,1.3888888888888888,
Randomized Kruskal,generator,2026-01-18T11:18:25.669Z,10x10,0.597199999988079,,,,,,27,22,0.56,0,
Wall Follower,solver,2026-01-18T11:18:26.098Z,10x10,0.325,30,0,55,100,54.54545454545454,27,22,0.56,1.6666666666666667,
Randomized Kruskal,generator,2026-01-18T11:18:26.638Z,10x10,0.5041999999880791,,,,,,32,27,0.31666666666666665,0,
Wall Follower,solver,2026-01-18T11:18:27.299Z,10x10,0.4609000000357628,22,0,68,100,32.35294117647059,32,27,0.31666666666666665,1.2222222222222223,
Randomized Kruskal,generator,2026-01-18T11:18:27.840Z,10x10,0.5405,,,,,,29,26,0.32142857142857145,0,
Wall Follower,solver,2026-01-18T11:18:28.582Z,10x10,0.5738000000119209,26,0,84,100,30.952380952380953,29,26,0.32142857142857145,1.4444444444444444,
Randomized Kruskal,generator,2026-01-18T11:18:29.193Z,10x10,0.5741000000238419,,,,,,31,24,0.19642857142857142,0,
Wall Follower,solver,2026-01-18T11:18:29.638Z,10x10,0.3170999999642372,20,0,49,100,40.816326530612244,31,24,0.19642857142857142,1.1111111111111112,
Randomized Kruskal,generator,2026-01-18T11:18:30.324Z,10x10,0.640800000011921,,,,,,33,27,0.19672131147540983,0,
Wall Follower,solver,2026-01-18T11:18:30.826Z,10x10,0.3407000000476837,26,0,55,100,47.27272727272727,33,27,0.19672131147540983,1.4444444444444444,
Randomized Kruskal,generator,2026-01-18T11:18:31.462Z,10x10,0.616300000011921,,,,,,29,24,0.35185185185185186,0,
Dijkstra,solver,2026-01-18T11:18:31.968Z,10x10,0.3215,31,,80,100,38.75,29,24,0.35185185185185186,1.7222222222222223,
Randomized Kruskal,generator,2026-01-18T11:18:32.576Z,10x10,0.5682999999523163,,,,,,27,21,0.3469387755102041,0,
Dijkstra,solver,2026-01-18T11:18:33.077Z,10x10,0.3685,33,,92,100,35.869565217391305,27,21,0.3469387755102041,1.8333333333333333,
Randomized Kruskal,generator,2026-01-18T11:18:33.730Z,10x10,0.608300000011921,,,,,,29,25,0.2727272727272727,0,
Dijkstra,solver,2026-01-18T11:18:34.252Z,10x10,0.32920000004768374,19,,82,100,23.170731707317074,29,25,0.2727272727272727,1.0555555555555556,
Randomized Kruskal,generator,2026-01-18T11:18:34.899Z,10x10,0.6135,,,,,,33,26,0.3,0,
Dijkstra,solver,2026-01-18T11:18:35.483Z,10x10,0.39689999997615816,27,,99,100,27.27272727272727,33,26,0.3,1.5,
Randomized Kruskal,generator,2026-01-18T11:18:36.130Z,10x10,0.632699999988079,,,,,,31,25,0.3508771929824561,0,
Dijkstra,solver,2026-01-18T11:18:36.675Z,10x10,0.37660000002384186,19,,94,100,20.212765957446805,31,25,0.3508771929824561,1.0555555555555556,
Randomized Prim,generator,2026-01-18T11:18:37.437Z,10x10,0.7253999999761581,,,,,,34,30,0.24615384615384617,0,
Recursive DFS,solver,2026-01-18T11:18:38.243Z,10x10,0.6298000000119209,19,69,88,100,21.59090909090909,34,30,0.24615384615384617,1.0555555555555556,
Randomized Prim,generator,2026-01-18T11:18:38.999Z,10x10,0.7245,,,,,,32,26,0.3389830508474576,0,
Recursive DFS,solver,2026-01-18T11:18:39.324Z,10x10,0.14860000002384186,19,9,28,100,67.85714285714286,32,26,0.3389830508474576,1.0555555555555556,
Randomized Prim,generator,2026-01-18T11:18:40.061Z,10x10,0.724300000011921,,,,,,31,26,0.3620689655172414,0,
Recursive DFS,solver,2026-01-18T11:18:40.834Z,10x10,0.5963999999761581,19,65,84,100,22.61904761904762,31,26,0.3620689655172414,1.0555555555555556,
Randomized Prim,generator,2026-01-18T11:18:41.573Z,10x10,0.7246999999880791,,,,,,32,28,0.3114754098360656,0,
Recursive DFS,solver,2026-01-18T11:18:42.364Z,10x10,0.6133999999761581,19,67,86,100,22.093023255813954,32,28,0.3114754098360656,1.0555555555555556,
Randomized Prim,generator,2026-01-18T11:18:43.089Z,10x10,0.7248000000119209,,,,,,34,27,0.3064516129032258,0,
Recursive DFS,solver,2026-01-18T11:18:43.871Z,10x10,0.6056000000238418,19,66,85,100,22.35294117647059,34,27,0.3064516129032258,1.0555555555555556,
Randomized Prim,generator,2026-01-18T11:18:44.602Z,10x10,0.7258999999761582,,,,,,27,23,0.4117647058823529,0,
Wall Follower,solver,2026-01-18T11:18:45.061Z,10x10,0.28459999996423724,20,0,45,100,44.44444444444444,27,23,0.4117647058823529,1.1111111111111112,
Randomized Prim,generator,2026-01-18T11:18:45.813Z,10x10,0.7248000000119209,,,,,,34,29,0.3125,0,
Wall Follower,solver,2026-01-18T11:18:46.481Z,10x10,0.49239999997615813,20,0,71,100,28.169014084507044,34,29,0.3125,1.1111111111111112,
Randomized Prim,generator,2026-01-18T11:18:47.225Z,10x10,0.7245,,,,,,34,27,0.24193548387096775,0,
Wall Follower,solver,2026-01-18T11:18:47.719Z,10x10,0.3161999999880791,20,0,49,100,40.816326530612244,34,27,0.24193548387096775,1.1111111111111112,
Randomized Prim,generator,2026-01-18T11:18:48.488Z,10x10,0.725199999988079,,,,,,38,30,0.15942028985507245,0,
Wall Follower,solver,2026-01-18T11:18:49.216Z,10x10,0.5491999999880791,20,0,78,100,25.64102564102564,38,30,0.15942028985507245,1.1111111111111112,
Randomized Prim,generator,2026-01-18T11:18:49.954Z,10x10,0.7248999999761582,,,,,,34,27,0.2903225806451613,0,
Wall Follower,solver,2026-01-18T11:18:50.583Z,10x10,0.45339999997615815,20,0,66,100,30.303030303030305,34,27,0.2903225806451613,1.1111111111111112,
Randomized Prim,generator,2026-01-18T11:18:51.316Z,10x10,0.725,,,,,,31,25,0.3508771929824561,0,
Dijkstra,solver,2026-01-18T11:18:51.894Z,10x10,0.40209999996423723,19,,100,100,19,31,25,0.3508771929824561,1.0555555555555556,
Randomized Prim,generator,2026-01-18T11:18:52.628Z,10x10,0.724199999988079,,,,,,33,27,0.29508196721311475,0,
Dijkstra,solver,2026-01-18T11:18:53.206Z,10x10,0.4005,21,,100,100,21,33,27,0.29508196721311475,1.1666666666666667,
Randomized Prim,generator,2026-01-18T11:18:53.942Z,10x10,0.7246999999880791,,,,,,34,28,0.25396825396825395,0,
Dijkstra,solver,2026-01-18T11:18:54.515Z,10x10,0.39670000004768374,19,,99,100,19.19191919191919,34,28,0.25396825396825395,1.0555555555555556,
Randomized Prim,generator,2026-01-18T11:18:55.255Z,10x10,0.7246999999880791,,,,,,30,27,0.27586206896551724,0,
Dijkstra,solver,2026-01-18T11:18:55.816Z,10x10,0.385,21,,96,100,21.875,30,27,0.27586206896551724,1.1666666666666667,
Randomized Prim,generator,2026-01-18T11:18:56.570Z,10x10,0.7255,,,,,,31,25,0.45614035087719296,0,
Dijkstra,solver,2026-01-18T11:18:57.147Z,10x10,0.40139999997615816,19,,100,100,19,31,25,0.45614035087719296,1.0555555555555556,
Eller's Algorithm,generator,2026-01-18T11:18:57.204Z,10x10,0.04480000001192093,,,,,,30,22,0.6792452830188679,0,
Recursive DFS,solver,2026-01-18T11:18:57.853Z,10x10,0.49239999997615813,33,45,78,100,42.30769230769231,30,22,0.6792452830188679,1.8333333333333333,
Eller's Algorithm,generator,2026-01-18T11:18:57.918Z,10x10,0.04510000002384186,,,,,,24,21,0.6739130434782609,0,
Recursive DFS,solver,2026-01-18T11:18:58.280Z,10x10,0.20510000002384185,27,12,39,100,69.23076923076923,24,21,0.6739130434782609,1.5,
Eller's Algorithm,generator,2026-01-18T11:18:58.332Z,10x10,0.04489999997615814,,,,,,27,23,0.5490196078431373,0,
Recursive DFS,solver,2026-01-18T11:18:58.950Z,10x10,0.4607999999523163,33,41,74,100,44.5945945945946,27,23,0.5490196078431373,1.8333333333333333,
Eller's Algorithm,generator,2026-01-18T11:18:58.995Z,10x10,0.044900000035762784,,,,,,29,24,0.3333333333333333,0,
Recursive DFS,solver,2026-01-18T11:18:59.300Z,10x10,0.14839999997615813,23,7,30,100,76.66666666666667,29,24,0.3333333333333333,1.2777777777777777,
Eller's Algorithm,generator,2026-01-18T11:18:59.358Z,10x10,0.04460000002384186,,,,,,30,26,0.42105263157894735,0,
Recursive DFS,solver,2026-01-18T11:18:59.793Z,10x10,0.2765,21,24,45,100,46.666666666666664,30,26,0.42105263157894735,1.1666666666666667,
Eller's Algorithm,generator,2026-01-18T11:18:59.874Z,10x10,0.044699999988079074,,,,,,30,25,0.4107142857142857,0,
Wall Follower,solver,2026-01-18T11:19:00.556Z,10x10,0.524699999988079,20,0,75,100,26.666666666666668,30,25,0.4107142857142857,1.1111111111111112,
Eller's Algorithm,generator,2026-01-18T11:19:00.638Z,10x10,0.045399999976158144,,,,,,30,24,0.4,0,
Wall Follower,solver,2026-01-18T11:19:01.400Z,10x10,0.6065,28,0,89,100,31.46067415730337,30,24,0.4,1.5555555555555556,
Eller's Algorithm,generator,2026-01-18T11:19:01.450Z,10x10,0.044900000035762784,,,,,,25,22,0.6666666666666666,0,
Wall Follower,solver,2026-01-18T11:19:02.204Z,10x10,0.5963999999761581,24,0,86,100,27.906976744186046,25,22,0.6666666666666666,1.3333333333333333,
Eller's Algorithm,generator,2026-01-18T11:19:02.263Z,10x10,0.04439999997615814,,,,,,24,21,0.5869565217391305,0,
Wall Follower,solver,2026-01-18T11:19:02.769Z,10x10,0.3493000000119209,24,0,55,100,43.63636363636363,24,21,0.5869565217391305,1.3333333333333333,
Eller's Algorithm,generator,2026-01-18T11:19:02.826Z,10x10,0.045,,,,,,28,25,0.35185185185185186,0,
Wall Follower,solver,2026-01-18T11:19:03.531Z,10x10,0.5485,22,0,79,100,27.848101265822784,28,25,0.35185185185185186,1.2222222222222223,
Eller's Algorithm,generator,2026-01-18T11:19:03.589Z,10x10,0.04509999996423721,,,,,,24,18,0.7209302325581395,0,
Dijkstra,solver,2026-01-18T11:19:04.146Z,10x10,0.4007999999523163,41,,100,100,41,24,18,0.7209302325581395,2.2777777777777777,
Eller's Algorithm,generator,2026-01-18T11:19:04.202Z,10x10,0.04509999996423721,,,,,,28,22,0.5098039215686274,0,
Dijkstra,solver,2026-01-18T11:19:04.728Z,10x10,0.36889999997615813,27,,92,100,29.347826086956523,28,22,0.5098039215686274,1.5,
Eller's Algorithm,generator,2026-01-18T11:19:04.816Z,10x10,0.04480000001192093,,,,,,27,23,0.5098039215686274,0,
Dijkstra,solver,2026-01-18T11:19:05.189Z,10x10,0.217,19,,54,100,35.18518518518518,27,23,0.5098039215686274,1.0555555555555556,
Eller's Algorithm,generator,2026-01-18T11:19:05.280Z,10x10,0.04519999998807907,,,,,,30,23,0.4074074074074074,0,
Dijkstra,solver,2026-01-18T11:19:05.837Z,10x10,0.4005,37,,100,100,37,30,23,0.4074074074074074,2.0555555555555554,
Eller's Algorithm,generator,2026-01-18T11:19:05.895Z,10x10,0.045,,,,,,25,23,0.6326530612244898,0,
Dijkstra,solver,2026-01-18T11:19:06.373Z,10x10,0.321,29,,80,100,36.25,25,23,0.6326530612244898,1.6111111111111112,
Wilson's Algorithm,generator,2026-01-18T11:19:09.199Z,10x10,2.7846999999880793,,,,,,31,27,0.1864406779661017,0,
Recursive DFS,solver,2026-01-18T11:19:09.729Z,10x10,0.41319999998807905,23,40,63,100,36.507936507936506,31,27,0.1864406779661017,1.2777777777777777,
Wilson's Algorithm,generator,2026-01-18T11:19:13.499Z,10x10,3.769300000011921,,,,,,32,27,0.2,0,
Recursive DFS,solver,2026-01-18T11:19:13.885Z,10x10,0.25289999997615814,25,19,44,100,56.81818181818182,32,27,0.2,1.3888888888888888,
Wilson's Algorithm,generator,2026-01-18T11:19:14.960Z,10x10,1.0651000000238418,,,,,,29,25,0.3090909090909091,0,
Recursive DFS,solver,2026-01-18T11:19:15.645Z,10x10,0.5483999999761582,29,54,83,100,34.93975903614458,29,25,0.3090909090909091,1.6111111111111112,
Wilson's Algorithm,generator,2026-01-18T11:19:16.804Z,10x10,1.145199999988079,,,,,,28,25,0.37037037037037035,0,
Recursive DFS,solver,2026-01-18T11:19:17.285Z,10x10,0.3256999999880791,39,21,60,100,65,28,25,0.37037037037037035,2.1666666666666665,
Wilson's Algorithm,generator,2026-01-18T11:19:18.969Z,10x10,1.6486000000238419,,,,,,30,26,0.22807017543859648,0,
Recursive DFS,solver,2026-01-18T11:19:19.686Z,10x10,0.5646000000238418,21,60,81,100,25.925925925925924,30,26,0.22807017543859648,1.1666666666666667,
Wilson's Algorithm,generator,2026-01-18T11:19:20.503Z,10x10,0.8169000000357628,,,,,,29,22,0.46153846153846156,0,
Wall Follower,solver,2026-01-18T11:19:21.140Z,10x10,0.45289999997615815,24,0,68,100,35.294117647058826,29,22,0.46153846153846156,1.3333333333333333,
Wilson's Algorithm,generator,2026-01-18T11:19:22.366Z,10x10,1.218,,,,,,29,25,0.34545454545454546,0,
Wall Follower,solver,2026-01-18T11:19:22.939Z,10x10,0.3881000000238419,24,0,60,100,40,29,25,0.34545454545454546,1.3333333333333333,
Wilson's Algorithm,generator,2026-01-18T11:19:23.924Z,10x10,0.961,,,,,,28,23,0.34615384615384615,0,
Wall Follower,solver,2026-01-18T11:19:24.269Z,10x10,0.20490000003576278,34,0,42,100,80.95238095238095,28,23,0.34615384615384615,1.8888888888888888,
Wilson's Algorithm,generator,2026-01-18T11:19:26.108Z,10x10,1.8325999999642373,,,,,,28,24,0.5094339622641509,0,
Wall Follower,solver,2026-01-18T11:19:26.883Z,10x10,0.6056000000238418,22,0,86,100,25.581395348837212,28,24,0.5094339622641509,1.2222222222222223,
Wilson's Algorithm,generator,2026-01-18T11:19:28.626Z,10x10,1.737,,,,,,28,25,0.2777777777777778,0,
Wall Follower,solver,2026-01-18T11:19:29.068Z,10x10,0.27790000003576276,26,0,47,100,55.319148936170215,28,25,0.2777777777777778,1.4444444444444444,
Wilson's Algorithm,generator,2026-01-18T11:19:30.536Z,10x10,1.4326999999880792,,,,,,30,25,0.23214285714285715,0,
Dijkstra,solver,2026-01-18T11:19:31.035Z,10x10,0.3291999999880791,21,,82,100,25.609756097560975,30,25,0.23214285714285715,1.1666666666666667,
Wilson's Algorithm,generator,2026-01-18T11:19:33.012Z,10x10,1.944399999976158,,,,,,29,23,0.41509433962264153,0,
Dijkstra,solver,2026-01-18T11:19:33.571Z,10x10,0.4005,27,,100,100,27,29,23,0.41509433962264153,1.5,
Wilson's Algorithm,generator,2026-01-18T11:19:36.104Z,10x10,2.5205,,,,,,27,23,0.39215686274509803,0,
Dijkstra,solver,2026-01-18T11:19:36.534Z,10x10,0.2485,23,,62,100,37.096774193548384,27,23,0.39215686274509803,1.2777777777777777,
Wilson's Algorithm,generator,2026-01-18T11:19:37.644Z,10x10,1.0968999999761582,,,,,,26,19,0.41304347826086957,0,
Dijkstra,solver,2026-01-18T11:19:38.081Z,10x10,0.333,21,,83,100,25.301204819277107,26,19,0.41304347826086957,1.1666666666666667,
Wilson's Algorithm,generator,2026-01-18T11:19:39.216Z,10x10,1.1043999999761582,,,,,,30,23,0.25925925925925924,0,
Dijkstra,solver,2026-01-18T11:19:39.782Z,10x10,0.3684000000357628,23,,92,100,25,30,23,0.25925925925925924,1.2777777777777777,
