algorithm,type,timestamp,mazeSize,time,pathLength,backtracks,cellsExplored,totalCells,efficiency,deadEnds,junctions,corridorLength,manhattanEfficiency,pathFound
Recursive Backtracking,generator,2026-01-18T11:30:34.086Z,30x30,7.209100000023842,,,,,,87,85,1.6184971098265897,0,
Wall Follower,solver,2026-01-18T11:30:37.904Z,30x30,3.6226000000238416,402,0,652,900,61.65644171779141,87,85,1.6184971098265897,6.931034482758621,
Recursive Backtracking,generator,2026-01-18T11:30:45.162Z,30x30,7.216399999976158,,,,,,88,85,1.5862068965517242,0,
Dijkstra,solver,2026-01-18T11:30:46.617Z,30x30,1.269399999976158,193,,317,900,60.88328075709779,88,85,1.5862068965517242,3.3275862068965516,
Recursive Backtracking,generator,2026-01-18T11:30:53.877Z,30x30,7.216599999964237,,,,,,95,88,1.5,0,
Dijkstra,solver,2026-01-18T11:30:57.528Z,30x30,3.4661000000238418,521,,856,900,60.86448598130841,95,88,1.5,8.982758620689655,
Recursive Backtracking,generator,2026-01-18T11:31:04.746Z,30x30,7.217,,,,,,96,94,1.3979057591623036,0,
Dijkstra,solver,2026-01-18T11:31:07.280Z,30x30,2.349100000023842,389,,581,900,66.95352839931154,96,94,1.3979057591623036,6.706896551724138,
Recursive Backtracking,generator,2026-01-18T11:31:14.522Z,30x30,7.228599999964238,,,,,,96,94,1.4816753926701571,0,
Dijkstra,solver,2026-01-18T11:31:18.233Z,30x30,3.5368999999761583,509,,869,900,58.573072497123135,96,94,1.4816753926701571,8.775862068965518,
Recursive Backtracking,generator,2026-01-18T11:31:25.473Z,30x30,7.2133000000119205,,,,,,94,91,1.5913978494623655,0,
Dijkstra,solver,2026-01-18T11:31:27.770Z,30x30,2.109,325,,519,900,62.6204238921002,94,91,1.5913978494623655,5.603448275862069,
Randomized Kruskal,generator,2026-01-18T11:31:34.283Z,30x30,6.510399999976158,,,,,,272,243,0.28488372093023256,0,
Recursive DFS,solver,2026-01-18T11:31:38.277Z,30x30,3.801699999988079,87,430,517,900,16.827852998065765,272,243,0.28488372093023256,1.5,
Randomized Kruskal,generator,2026-01-18T11:31:44.707Z,30x30,6.418400000035763,,,,,,279,241,0.2591170825335892,0,
Recursive DFS,solver,2026-01-18T11:31:50.183Z,30x30,5.292899999976158,103,606,709,900,14.527503526093088,279,241,0.2591170825335892,1.7758620689655173,
Randomized Kruskal,generator,2026-01-18T11:31:55.873Z,30x30,5.669100000023842,,,,,,277,234,0.279296875,0,
Recursive DFS,solver,2026-01-18T11:31:59.951Z,30x30,3.9455999999642373,85,449,534,900,15.917602996254681,277,234,0.279296875,1.4655172413793103,
Randomized Kruskal,generator,2026-01-18T11:32:06.032Z,30x30,6.065099999964238,,,,,,257,223,0.3201663201663202,0,
Recursive DFS,solver,2026-01-18T11:32:09.039Z,30x30,2.868799999952316,111,300,411,900,27.00729927007299,257,223,0.3201663201663202,1.9137931034482758,
Randomized Kruskal,generator,2026-01-18T11:32:15.020Z,30x30,5.937400000035763,,,,,,272,231,0.3194444444444444,0,
Recursive DFS,solver,2026-01-18T11:32:18.077Z,30x30,2.8934000000357627,77,322,399,900,19.298245614035086,272,231,0.3194444444444444,1.3275862068965518,
Randomized Kruskal,generator,2026-01-18T11:32:24.258Z,30x30,6.162,,,,,,284,254,0.2189239332096475,0,
Wall Follower,solver,2026-01-18T11:32:29.966Z,30x30,5.568399999976158,82,0,733,900,11.186903137789903,284,254,0.2189239332096475,1.4137931034482758,
Randomized Kruskal,generator,2026-01-18T11:32:36.788Z,30x30,6.7775,,,,,,270,234,0.30495049504950494,0,
Wall Follower,solver,2026-01-18T11:32:40.292Z,30x30,3.380900000035763,98,0,468,900,20.94017094017094,270,234,0.30495049504950494,1.6896551724137931,
Randomized Kruskal,generator,2026-01-18T11:32:46.156Z,30x30,5.8330999999642374,,,,,,270,236,0.3076923076923077,0,
Wall Follower,solver,2026-01-18T11:32:50.299Z,30x30,3.9734000000357628,96,0,541,900,17.744916820702404,270,236,0.3076923076923077,1.6551724137931034,
Randomized Kruskal,generator,2026-01-18T11:32:56.330Z,30x30,5.9932000000476835,,,,,,268,230,0.3046092184368738,0,
Wall Follower,solver,2026-01-18T11:33:00.351Z,30x30,3.9128999999761582,90,0,530,900,16.9811320754717,268,230,0.3046092184368738,1.5517241379310345,
Randomized Kruskal,generator,2026-01-18T11:33:06.517Z,30x30,6.165099999964237,,,,,,255,218,0.31223628691983124,0,
Wall Follower,solver,2026-01-18T11:33:08.945Z,30x30,2.2898000000119207,82,0,326,900,25.153374233128833,255,218,0.31223628691983124,1.4137931034482758,
Randomized Kruskal,generator,2026-01-18T11:33:14.761Z,30x30,5.792600000023842,,,,,,270,235,0.30237154150197626,0,
Dijkstra,solver,2026-01-18T11:33:18.424Z,30x30,3.552699999988079,87,,870,900,10,270,235,0.30237154150197626,1.5,
Randomized Kruskal,generator,2026-01-18T11:33:24.014Z,30x30,5.581199999988079,,,,,,273,230,0.27976190476190477,0,
Dijkstra,solver,2026-01-18T11:33:27.005Z,30x30,2.870199999988079,81,,703,900,11.522048364153626,273,230,0.27976190476190477,1.396551724137931,
Randomized Kruskal,generator,2026-01-18T11:33:33.120Z,30x30,6.0735,,,,,,276,242,0.2909441233140655,0,
Dijkstra,solver,2026-01-18T11:33:36.754Z,30x30,3.505899999976158,97,,858,900,11.305361305361306,276,242,0.2909441233140655,1.6724137931034482,
Randomized Kruskal,generator,2026-01-18T11:33:42.739Z,30x30,5.9794000000357626,,,,,,279,233,0.2884990253411306,0,
Dijkstra,solver,2026-01-18T11:33:45.407Z,30x30,2.5458999999761582,109,,625,900,17.44,279,233,0.2884990253411306,1.8793103448275863,
Randomized Kruskal,generator,2026-01-18T11:33:52.099Z,30x30,6.677,,,,,,287,237,0.24,0,
Dijkstra,solver,2026-01-18T11:33:55.523Z,30x30,3.298,83,,808,900,10.272277227722771,287,237,0.24,1.4310344827586208,
Randomized Prim,generator,2026-01-18T11:34:02.533Z,30x30,6.996900000035763,,,,,,282,244,0.33396584440227706,0,
Recursive DFS,solver,2026-01-18T11:34:05.502Z,30x30,2.865,63,325,388,900,16.237113402061855,282,244,0.33396584440227706,1.0862068965517242,
Randomized Prim,generator,2026-01-18T11:34:12.534Z,30x30,6.984599999964237,,,,,,294,248,0.32228360957642727,0,
Recursive DFS,solver,2026-01-18T11:34:17.459Z,30x30,4.805900000035763,59,569,628,900,9.394904458598727,294,248,0.32228360957642727,1.0172413793103448,
Randomized Prim,generator,2026-01-18T11:34:24.438Z,30x30,6.9740999999642375,,,,,,267,227,0.3616161616161616,0,
Recursive DFS,solver,2026-01-18T11:34:27.056Z,30x30,2.4885999999642374,61,280,341,900,17.888563049853374,267,227,0.3616161616161616,1.0517241379310345,
Randomized Prim,generator,2026-01-18T11:34:34.068Z,30x30,6.989,,,,,,282,239,0.34674329501915707,0,
Recursive DFS,solver,2026-01-18T11:34:38.330Z,30x30,4.148800000011921,65,483,548,900,11.861313868613138,282,239,0.34674329501915707,1.1206896551724137,
Randomized Prim,generator,2026-01-18T11:34:45.318Z,30x30,6.974700000047684,,,,,,285,244,0.3113207547169811,0,
Recursive DFS,solver,2026-01-18T11:34:49.946Z,30x30,4.500600000023842,59,532,591,900,9.983079526226735,285,244,0.3113207547169811,1.0172413793103448,
Randomized Prim,generator,2026-01-18T11:34:56.927Z,30x30,6.968900000035763,,,,,,287,238,0.3365019011406844,0,
Wall Follower,solver,2026-01-18T11:34:59.252Z,30x30,2.192300000011921,70,0,307,900,22.80130293159609,287,238,0.3365019011406844,1.206896551724138,
Randomized Prim,generator,2026-01-18T11:35:06.244Z,30x30,6.972899999976158,,,,,,283,247,0.3220338983050847,0,
Wall Follower,solver,2026-01-18T11:35:09.834Z,30x30,3.4605,66,0,463,900,14.254859611231103,283,247,0.3220338983050847,1.1379310344827587,
Randomized Prim,generator,2026-01-18T11:35:16.821Z,30x30,6.985800000011921,,,,,,296,248,0.3192660550458716,0,
Wall Follower,solver,2026-01-18T11:35:21.786Z,30x30,4.849599999964237,66,0,633,900,10.42654028436019,296,248,0.3192660550458716,1.1379310344827587,
Randomized Prim,generator,2026-01-18T11:35:28.812Z,30x30,7.013300000011921,,,,,,297,251,0.3442622950819672,0,
Wall Follower,solver,2026-01-18T11:35:33.413Z,30x30,4.413100000023842,62,0,580,900,10.689655172413794,297,251,0.3442622950819672,1.0689655172413792,
Randomized Prim,generator,2026-01-18T11:35:40.419Z,30x30,7.0055,,,,,,291,235,0.32827324478178366,0,
Wall Follower,solver,2026-01-18T11:35:43.497Z,30x30,2.880699999988079,60,0,386,900,15.544041450777202,291,235,0.32827324478178366,1.0344827586206897,
Randomized Prim,generator,2026-01-18T11:35:50.525Z,30x30,6.9966999999880795,,,,,,284,242,0.3586337760910816,0,
Dijkstra,solver,2026-01-18T11:35:54.331Z,30x30,3.701800000011921,63,,900,900,7.000000000000001,284,242,0.3586337760910816,1.0862068965517242,
Randomized Prim,generator,2026-01-18T11:36:01.369Z,30x30,7.027,,,,,,301,257,0.26654740608228983,0,
Dijkstra,solver,2026-01-18T11:36:05.234Z,30x30,3.6891000000238416,59,,899,900,6.562847608453838,301,257,0.26654740608228983,1.0172413793103448,
Randomized Prim,generator,2026-01-18T11:36:12.275Z,30x30,7.017399999976158,,,,,,301,258,0.2625,0,
Dijkstra,solver,2026-01-18T11:36:16.173Z,30x30,3.7137999999523164,63,,897,900,7.023411371237458,301,258,0.2625,1.0862068965517242,
Randomized Prim,generator,2026-01-18T11:36:23.179Z,30x30,7.005,,,,,,280,240,0.3416506717850288,0,
Dijkstra,solver,2026-01-18T11:36:26.974Z,30x30,3.693600000023842,61,,893,900,6.83090705487122,280,240,0.3416506717850288,1.0517241379310345,
Randomized Prim,generator,2026-01-18T11:36:34.060Z,30x30,7.065700000047683,,,,,,303,261,0.26902654867256637,0,
Dijkstra,solver,2026-01-18T11:36:37.891Z,30x30,3.695199999988079,61,,900,900,6.777777777777779,303,261,0.26902654867256637,1.0517241379310345,
Eller's Algorithm,generator,2026-01-18T11:36:38.064Z,30x30,0.15469999998807907,,,,,,264,233,0.3755020080321285,0,
Recursive DFS,solver,2026-01-18T11:36:39.976Z,30x30,1.766199999988079,93,171,264,900,35.22727272727273,264,233,0.3755020080321285,1.603448275862069,
Eller's Algorithm,generator,2026-01-18T11:36:40.102Z,30x30,0.12530000001192093,,,,,,255,219,0.4357894736842105,0,
Recursive DFS,solver,2026-01-18T11:36:42.227Z,30x30,1.9489000000357628,105,191,296,900,35.47297297297297,255,219,0.4357894736842105,1.8103448275862069,
Eller's Algorithm,generator,2026-01-18T11:36:42.364Z,30x30,0.1245,,,,,,248,221,0.48723404255319147,0,
Recursive DFS,solver,2026-01-18T11:36:44.563Z,30x30,2.0205,103,199,302,900,34.105960264900666,248,221,0.48723404255319147,1.7758620689655173,
Eller's Algorithm,generator,2026-01-18T11:36:44.731Z,30x30,0.125,,,,,,251,216,0.5,0,
Recursive DFS,solver,2026-01-18T11:36:48.066Z,30x30,3.157300000011921,111,335,446,900,24.887892376681613,251,216,0.5,1.9137931034482758,
Eller's Algorithm,generator,2026-01-18T11:36:48.204Z,30x30,0.13310000002384187,,,,,,262,233,0.41935483870967744,0,
Recursive DFS,solver,2026-01-18T11:36:52.142Z,30x30,3.769300000011921,135,398,533,900,25.328330206378986,262,233,0.41935483870967744,2.3275862068965516,
Eller's Algorithm,generator,2026-01-18T11:36:52.310Z,30x30,0.12560000002384186,,,,,,242,207,0.48,0,
Wall Follower,solver,2026-01-18T11:36:55.843Z,30x30,3.357300000011921,74,0,453,900,16.335540838852097,242,207,0.48,1.2758620689655173,
Eller's Algorithm,generator,2026-01-18T11:36:55.972Z,30x30,0.12469999998807907,,,,,,250,224,0.47578947368421054,0,
Wall Follower,solver,2026-01-18T11:37:00.912Z,30x30,4.761100000023842,92,0,630,900,14.603174603174605,250,224,0.47578947368421054,1.5862068965517242,
Eller's Algorithm,generator,2026-01-18T11:37:01.038Z,30x30,0.12479999995231629,,,,,,255,231,0.41478439425051333,0,
Wall Follower,solver,2026-01-18T11:37:06.791Z,30x30,5.576800000011921,86,0,731,900,11.76470588235294,255,231,0.41478439425051333,1.4827586206896552,
Eller's Algorithm,generator,2026-01-18T11:37:06.951Z,30x30,0.12460000002384186,,,,,,254,226,0.39501039501039503,0,
Wall Follower,solver,2026-01-18T11:37:10.211Z,30x30,3.0845,110,0,438,900,25.11415525114155,254,226,0.39501039501039503,1.896551724137931,
Eller's Algorithm,generator,2026-01-18T11:37:10.363Z,30x30,0.12480000001192093,,,,,,243,214,0.4890829694323144,0,
Wall Follower,solver,2026-01-18T11:37:15.096Z,30x30,4.556800000011921,114,0,621,900,18.357487922705314,243,214,0.4890829694323144,1.9655172413793103,
Eller's Algorithm,generator,2026-01-18T11:37:15.225Z,30x30,0.12489999997615814,,,,,,247,220,0.4829059829059829,0,
Dijkstra,solver,2026-01-18T11:37:18.017Z,30x30,2.6145,105,,644,900,16.304347826086957,247,220,0.4829059829059829,1.8103448275862069,
Eller's Algorithm,generator,2026-01-18T11:37:18.143Z,30x30,0.12529999995231628,,,,,,256,234,0.4154786150712831,0,
Dijkstra,solver,2026-01-18T11:37:21.549Z,30x30,3.229300000011921,173,,789,900,21.926489226869457,256,234,0.4154786150712831,2.9827586206896552,
Eller's Algorithm,generator,2026-01-18T11:37:21.706Z,30x30,0.1250999999642372,,,,,,248,219,0.4551282051282051,0,
Dijkstra,solver,2026-01-18T11:37:25.255Z,30x30,3.372800000011921,105,,830,900,12.650602409638553,248,219,0.4551282051282051,1.8103448275862069,
Eller's Algorithm,generator,2026-01-18T11:37:25.427Z,30x30,0.12910000002384187,,,,,,254,221,0.47058823529411764,0,
Dijkstra,solver,2026-01-18T11:37:28.589Z,30x30,2.989,111,,727,900,15.268225584594223,254,221,0.47058823529411764,1.9137931034482758,
Eller's Algorithm,generator,2026-01-18T11:37:28.739Z,30x30,0.12769999998807907,,,,,,251,215,0.41113490364025695,0,
Dijkstra,solver,2026-01-18T11:37:30.723Z,30x30,1.809800000011921,91,,445,900,20.44943820224719,251,215,0.41113490364025695,1.5689655172413792,
Wilson's Algorithm,generator,2026-01-18T11:37:57.801Z,30x30,27.07389999997616,,,,,,274,233,0.31299212598425197,0,
Recursive DFS,solver,2026-01-18T11:38:00.101Z,30x30,2.172899999976158,73,232,305,900,23.934426229508198,274,233,0.31299212598425197,1.2586206896551724,
Wilson's Algorithm,generator,2026-01-18T11:38:43.148Z,30x30,43.005100000023845,,,,,,246,211,0.3537117903930131,0,
Recursive DFS,solver,2026-01-18T11:38:48.114Z,30x30,4.768800000011921,145,509,654,900,22.171253822629968,246,211,0.3537117903930131,2.5,
Wilson's Algorithm,generator,2026-01-18T11:39:04.868Z,30x30,16.709299999952318,,,,,,282,249,0.2462406015037594,0,
Recursive DFS,solver,2026-01-18T11:39:07.557Z,30x30,2.4972000000476835,85,266,351,900,24.216524216524217,282,249,0.2462406015037594,1.4655172413793103,
Wilson's Algorithm,generator,2026-01-18T11:39:20.825Z,30x30,13.253899999976158,,,,,,269,241,0.26810176125244617,0,
Recursive DFS,solver,2026-01-18T11:39:23.683Z,30x30,2.708699999988079,115,274,389,900,29.562982005141386,269,241,0.26810176125244617,1.9827586206896552,
Wilson's Algorithm,generator,2026-01-18T11:40:12.203Z,30x30,48.517100000023845,,,,,,277,231,0.27897838899803534,0,
Recursive DFS,solver,2026-01-18T11:40:14.423Z,30x30,2.034300000011921,85,208,293,900,29.01023890784983,277,231,0.27897838899803534,1.4655172413793103,
Wilson's Algorithm,generator,2026-01-18T11:40:31.487Z,30x30,17.03669999998808,,,,,,256,224,0.35135135135135137,0,
Wall Follower,solver,2026-01-18T11:40:35.177Z,30x30,3.525100000023842,100,0,481,900,20.79002079002079,256,224,0.35135135135135137,1.7241379310344827,
Wilson's Algorithm,generator,2026-01-18T11:41:18.134Z,30x30,42.92069999998808,,,,,,266,232,0.2985971943887776,0,
Wall Follower,solver,2026-01-18T11:41:21.616Z,30x30,3.301699999988079,158,0,483,900,32.71221532091098,266,232,0.2985971943887776,2.7241379310344827,
Wilson's Algorithm,generator,2026-01-18T11:42:01.512Z,30x30,39.884799999952314,,,,,,249,216,0.3540772532188841,0,
Wall Follower,solver,2026-01-18T11:42:03.826Z,30x30,2.197400000035763,96,0,317,900,30.28391167192429,249,216,0.3540772532188841,1.6551724137931034,
Wilson's Algorithm,generator,2026-01-18T11:42:14.879Z,30x30,11.037099999964237,,,,,,258,225,0.3739669421487603,0,
Wall Follower,solver,2026-01-18T11:42:19.861Z,30x30,4.817600000023842,82,0,633,900,12.954186413902052,258,225,0.3739669421487603,1.4137931034482758,
Wilson's Algorithm,generator,2026-01-18T11:43:03.090Z,30x30,43.185200000047686,,,,,,265,231,0.32595573440643866,0,
Wall Follower,solver,2026-01-18T11:43:06.556Z,30x30,3.348800000011921,114,0,470,900,24.25531914893617,265,231,0.32595573440643866,1.9655172413793103,
Wilson's Algorithm,generator,2026-01-18T11:43:21.171Z,30x30,14.60119999998808,,,,,,269,231,0.3033932135728543,0,
Dijkstra,solver,2026-01-18T11:43:23.214Z,30x30,1.9418999999761581,97,,473,900,20.507399577167018,269,231,0.3033932135728543,1.6724137931034482,
Wilson's Algorithm,generator,2026-01-18T11:43:36.102Z,30x30,12.866299999952316,,,,,,263,231,0.3090909090909091,0,
Dijkstra,solver,2026-01-18T11:43:39.348Z,30x30,3.1095,109,,764,900,14.267015706806282,263,231,0.3090909090909091,1.8793103448275863,
Wilson's Algorithm,generator,2026-01-18T11:43:52.788Z,30x30,13.436899999976157,,,,,,263,229,0.30831643002028397,0,
Dijkstra,solver,2026-01-18T11:43:55.527Z,30x30,2.5739000000357626,89,,632,900,14.082278481012658,263,229,0.30831643002028397,1.5344827586206897,
Wilson's Algorithm,generator,2026-01-18T11:44:42.074Z,30x30,46.508800000011924,,,,,,246,207,0.3854625550660793,0,
Dijkstra,solver,2026-01-18T11:44:45.940Z,30x30,3.673,109,,897,900,12.151616499442586,246,207,0.3854625550660793,1.8793103448275863,
Wilson's Algorithm,generator,2026-01-18T11:45:06.868Z,30x30,20.88919999998808,,,,,,263,230,0.3360323886639676,0,
Dijkstra,solver,2026-01-18T11:45:09.924Z,30x30,2.943700000047684,81,,714,900,11.344537815126051,263,230,0.3360323886639676,1.396551724137931,
